Vendor,Expense Type,Expense Descrption,Date,Item Name,Item Description,Quantity,Cost,Total Cost,Recurring,Interval,
Amazon Prime,Other Expenses,Office Supplies,11/3/2019,Magnifying Desk Lamp/Task Light with Clamp,LED Work Light,1,64.99,64.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/3/2019,Product Taxes,Electronics and Office Supplies Purchase,1,15.96,15.96,FALSE,,
N/A,Salarys,Contractor,12/8/2019,OH,Data Entry,1,11,11,FALSE,,
TigerDirect Business,Other Expenses,Software,11/1/2019,Wired Desktop,Microsoft 600,1,29.95,29.95,FALSE,,
TigerDirect Business,Other Expenses,Software,11/1/2019,Microsoft Office,Home and Business 2019,1,249.99,249.99,FALSE,,
TigerDirect Business,Other Expenses,Computers,11/1/2019,HP EliteDesk 800,G1 i5 16G 1yr Warranty,1,329.99,329.99,FALSE,,
TigerDirect Business,Other Expenses,Shipping,11/1/2019,Product Shipping,Software and Computer Purchase,1,12.98,12.98,FALSE,,
TigerDirect Business,Other Expenses,Taxes,11/1/2019,Product Taxes,Software and Computer Purchase,1,53.73,53.73,FALSE,,
Wayfair,Other Expenses,Office Supplies,10/20/2019,Desk,Leith Executive,1,234.99,234.99,FALSE,,
TigerDirect Business,Other Expenses,Taxes,10/20/2019,Product Taxes,Office Supplies Purchese,1,40.54,40.54,FALSE,,
TigerDirect Business,Other Expenses,Taxes,10/20/2019,Product Taxes,Office Supplies Purchese,1,40.54,40.54,FALSE,,
TigerDirect Business,Other Expenses,Taxes,10/20/2019,DELETE,Office Supplies Purchese,1,40.54,40.54,FALSE,,
Wayfair,Other Expenses,Taxes,10/20/2019,Product Taxes,Office Supplies Purchase,1,40.54,40.54,FALSE,,
Wayfair,Other Expenses,Machine Shop Supplies,10/31/2019,Workbench,"72"" Adjustable Height",1,362.99,362.99,FALSE,,
Wayfair,Other Expenses,Taxes,10/31/2019,Product Taxes,Machine Shop Supplies Purchase,1,31.31,31.31,FALSE,,
TigerDirect Business,Other Expenses,Software,11/1/2019,Wired Desktop,Microsoft 600,1,29.95,29.95,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,1G PVC BOX,NEW WORK 22.5CU,1,1.1,1.1,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,STRIP LIGHT,2FT STRIP LIGHT,1,24.97,24.97,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,RECEPTACLE,BACK AND SIDE WIRED OUTLET,1,8.64,8.64,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,15A 3W SW WH,3-WAY TOGGLE SWITCH,1,1.75,1.75,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,17PCMETP,METRIC TAP AND HEX DIE SET,1,29.97,29.97,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,DRILL PRESS,"RYB 10""",1,159,159,FALSE,,
Wayfair,Other Expenses,Office Supplies,10/20/2019,Desk 2,Leith Executive,1,235,235,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,12/27/2019,BAND SAW,2.5 AMP,1,169,169,FALSE,,
Home Depot,Other Expenses,Taxes,12/27/2019,Product Taxes,Machine Shop Supplies,1,34.02,34.02,FALSE,,
Vani Kapor,Salarys,Contractor,12/9/2019,OH,Data Entry,1,11,11,FALSE,,
Home Depot,Other Expenses,Office Supplies,10/21/2019,Common Board,1x12x4 (Bookcase),1,38.32,38.32,FALSE,,
Home Depot,Other Expenses,Office Supplies,10/21/2019,Plastic wood,LTX Natural  (Bookcase),1,7.78,7.78,FALSE,,
Home Depot,Other Expenses,Office Supplies,10/21/2019,Putty knife,Plastic  (Bookcase),1,0.98,0.98,FALSE,,
Home Depot,Other Expenses,Office Supplies,10/21/2019,Paint Brush,  (Bookcase),1,4.35,4.35,FALSE,,
Home Depot,Other Expenses,Office Supplies,10/21/2019,sponge,  (Bookcase),1,2.78,2.78,FALSE,,
Home Depot,Other Expenses,Taxes,10/21/2019,Bookcase construction,  (Bookcase),1,4.68,4.68,FALSE,,
KROSS HARDWARE,Other Expenses,Test Fixtures,2/1/2020,Micro Screws,Micro Screws,1,6.35,6.35,FALSE,,
Amazon Prime,Other Expenses,Robot,2/16/2020,DC Motor Controller,RioRand 7-80V Motor Switch,1,14.99,14.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,2/16/2020,DC Motor Controller,RioRand 7-80V Motor Switch,1,14.99,14.99,FALSE,,
Amazon Prime,Other Expenses,Robot,10/6/2019,Switch,Hinge Roller Micro Switch,1,6.99,6.99,FALSE,,
Amazon Prime,Other Expenses,Robot,10/6/2019,Couplings,8mm NEMA 17 Shaft,1,6.26,6.26,FALSE,,
Amazon Prime,Other Expenses,Robot,10/6/2019,Stepper Motor,Nema 17 Bipolar 2A,1,13.99,13.99,FALSE,,
Amazon Prime,Other Expenses,Robot,10/6/2019,Mounting Bracket,Nema 17 Stepper,1,10.99,10.99,FALSE,,
Amazon Prime,Other Expenses,Robot,10/6/2019,Motor Screw Linear Nut,Laser Engraving,1,19.39,19.39,FALSE,,
Amazon Prime,Other Expenses,Robot,10/7/2019,Industrial Combination ,Linear Motion Ball Bearing Slide,1,40.99,40.99,FALSE,,
Amazon Prime,Other Expenses,Robot,10/7/2019,Octagon Star,8mm Lead 4 Strt Lead Screw & Nut,1,8.9,8.9,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/7/2019,Robot Parts,Motor Parts,1,9.28,9.28,FALSE,,
Amazon Prime,Other Expenses,Robot,9/26/2019,12 V Drive Stepper,Laser Engraving Machine,1,19.39,19.39,FALSE,,
Amazon Prime,Other Expenses,Taxes,9/26/2019,12 V Drive Stepper,Laser Engraving Machine,1,1.67,1.67,FALSE,,
Amazon Prime,Other Expenses,Robot,9/22/2019,24V  DC Universal Reg Switch,Power Supply,1,26.99,26.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,9/22/2019,24V  DC Universal Reg Switch,Power Supply,1,2.33,2.33,FALSE,,
Amazon Prime,Other Expenses,Robot,9/18/2019,Tolako 5V Relay Module,Indicator Light LED,2,5.5,11,FALSE,,
Amazon Prime,Other Expenses,Robot,9/18/2019,12V Switching Power Supply,Universal Regu;ated Transformer,1,12.99,12.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,9/18/2019,Product Taxes,Motor Parts,1,2.06,2.06,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,10/30/2019,Mounting Dream,TV Wall Mount Monitor Bracket,1,21.74,21.74,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,10/30/2019,HDMI Switch,Splitter w/Pigtail Cable,1,8.88,8.88,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,10/30/2019,Buffalo Linkstation 220,Private Cloud Storage,1,244.98,244.98,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/30/2019,Product Taxes,Office Supplies,1,23.78,23.78,FALSE,,
Amazon Prime,Other Expenses,Robot,9/24/2019,Stepper Motor Drive,Stepper Motor for CNC,1,12.59,12.59,FALSE,,
Amazon Prime,Other Expenses,Taxes,9/24/2019,Stepper Motor Drive,Stepper Motor for CNC,1,1.09,1.09,FALSE,,
Home Depot,Other Expenses,Test Fixtures,11/20/2019,Robot Parts,Steel Rod,1,3.82,3.82,FALSE,,
Home Depot,Other Expenses,Robot,11/20/2019,Robot Parts,Angle Offset,1,4.74,4.74,FALSE,,
Home Depot,Other Expenses,Robot,11/20/2019,Robot Parts,4 Term Ground Bar,1,5.24,5.24,FALSE,,
Home Depot,Other Expenses,Robot,11/20/2019,Robot Parts,Termina Block 6,1,6.46,6.46,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,11/20/2019,Robot Parts,Spade Vinyl 16-14,1,1.98,1.98,FALSE,,
Home Depot,Other Expenses,Taxes,11/20/2019,Product Taxes,Robot Parts,1,1.92,1.92,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Square Dowel,"1/4""x36""",1,0.98,0.98,FALSE,,
Home Depot,Other Expenses,Test Fixtures,8/31/2019,Plywood,1/4 2x2 BCX Plywood,2,4.45,8.9,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Poplar Scant Board,"1/2x3-48"" Scant Board",1,4.92,4.92,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Square Dowel,"1""x36""",1,3.62,3.62,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,8/31/2019,Mini Clamp,Anvil Mini Spring Clamp,2,0.47,0.94,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Spring Clamp,"Anvil 2"" Metal Spring Clamp",5,0.99,4.95,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Spring Clamp,"Anvil 1"" Metal Spring Clamp",2,0.99,1.98,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,TB Org 8 oz,Titebond I Wood Glue,1,2.97,2.97,FALSE,,
Home Depot,Other Expenses,Taxes,8/31/2019,Product Taxes,Robot Parts,1,2.52,2.52,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,5/64 Cobalt,"Milwaukee 5/64"" Cobalt Red Helix",2,2.97,5.94,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,8/31/2019,Wood Screw,"6x1-1/4"" Zinc Fl Hd Phil Wood Screw",1,1.18,1.18,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Wood Screw,"6x5/8"" Zinc Oval Hd Phil Wood Screw",1,1.18,1.18,FALSE,,
Home Depot,Other Expenses,Robot,8/31/2019,Clamp,Bessey Bar Clamp,1,11.97,11.97,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,8/31/2019,Bosch Blade,Wood Jigsaw Blade 5pk,1,8.97,8.97,FALSE,,
Home Depot,Other Expenses,Taxes,8/31/2019,Product Taxes,Robot Parts,1,2.52,2.52,FALSE,,
Home Depot,Other Expenses,Robot,9/4/2019,2x Flat Bkack,Flat Black Painters Touch,1,3.98,3.98,FALSE,,
Home Depot,Other Expenses,Test Fixtures,9/4/2019,Flat Plate,Bar Flat Alum,1,7.58,7.58,FALSE,,
Home Depot,Other Expenses,Robot,9/4/2019,EZ Lock Whls,Dremel EZ Met Cut Off,1,13.97,13.97,FALSE,,
Home Depot,Other Expenses,Robot,9/4/2019,Starter Kit,Dremel EZ Lock Starter Kit,1,14.97,14.97,FALSE,,
Home Depot,Other Expenses,Robot,9/4/2019,Match Screw,Match Scr Rnd HD CMB Zinc,1,1.18,1.18,FALSE,,
